nitrogen,phosphorus,potassium,ph,temperature,humidity,rainfall,soil,season,crop
23.04,64.51,32.62,6.73,21.97,68.01,80.89,Loamy,Kharif,PigeonPeas
31.93,110.6,286.08,6.99,19.96,65.18,98.88,Loamy,Kharif,Grapes
91.74,50.84,60,6.56,25.64,77.42,64.73,Sandy Loam,Kharif,Watermelon
38.93,17.94,35.46,7.42,26.26,58.53,109.06,Sandy Loam,Kharif,Mango
58.96,40.75,53.54,7.09,17.86,65.19,48.33,Clay,Rabi,Wheat
89.83,41.94,26.85,5.82,24.66,58.89,90.17,Loamy,Rabi,Maize
20.6,28.72,34.98,7.24,21.66,53.2,53.6,Red Soil,Kharif,Pomegranate
85.66,67.59,338.06,7.03,31.44,88.14,176.65,Clay Loam,Kharif,Banana
60.82,51.17,56.81,6.39,15.76,60.55,63.15,Loamy,Rabi,Wheat
28.92,53.09,25.9,6.54,17.67,70.99,78.43,Loamy,Rabi,Lentil
51.46,36.17,39.39,6.35,26.04,80.79,191.94,Alluvial,Kharif,Jute
35.98,62.39,36.11,6.73,23.44,74.88,84.93,Loamy,Rabi,KidneyBeans
37.66,58.39,26.42,5.55,19.32,68.91,71.04,Loamy,Rabi,KidneyBeans
49.9,58.09,46.59,7.19,30.23,79.58,70.85,Red Soil,Kharif,Blackgram
31.42,67.74,30.93,5.61,18.78,64.25,89.32,Sandy,Rabi,KidneyBeans
44.73,39.44,123.71,5.51,32.05,72.8,230.49,Sandy,Kharif,Coconut
112.54,52.04,40.21,7.09,27.29,73.23,93.13,Loamy,Kharif,Cotton
94.86,69.22,93.56,6.71,26.39,71.55,122.03,Sandy Loam,Kharif,Papaya
30.62,22.12,28.9,7.48,30.07,61.02,147.8,Loamy,Kharif,Mango
31.07,57.2,24.6,7.03,23.4,67.95,47.87,Clay Loam,Rabi,Lentil
15.94,21.28,31.11,6.56,24.28,49.13,61.03,Loamy,Rabi,Pomegranate
37.33,59.5,48.03,7,28.32,71.6,80.55,Sandy Loam,Rabi,Chickpea
120.47,51.55,51.79,7.4,21.61,76.72,96.37,Loamy,Kharif,Cotton
26,45.01,27.09,6.39,25.59,72.17,77.62,Loamy,Kharif,MungBean
47.67,38.33,38.61,6.99,33.6,77.9,163.73,Loamy,Kharif,Jute
28.58,68.05,39.78,6.83,21.49,64.15,106.51,Clay,Kharif,PigeonPeas
47.89,55.63,49.61,6.09,27.63,73.55,61.34,Red Soil,Kharif,Blackgram
81.58,57.24,22.15,6.17,23.6,66.09,97.41,Loamy,Rabi,Maize
114.73,76.97,284.42,6.17,26.05,88.31,117.43,Loamy,Kharif,Banana
38.83,125.53,216.11,6.87,16.64,73.4,109.27,Clay Loam,Rabi,Apple
38.58,66.91,36,7.38,34.87,75.32,67.8,Loamy,Rabi,Blackgram
44.84,39.39,147.82,6.73,33.6,70.45,154.8,Coastal Sandy,Kharif,Coconut
21.05,50.45,25.58,6.7,22.41,65.03,65.82,Loamy,Kharif,KidneyBeans
45.88,29.15,27.97,6.8,27.45,70.51,139.37,Sandy Loam,Rabi,Orange
83.56,41.27,46.87,6.4,26.22,81.06,159.35,Loamy,Kharif,Rice
31.19,54.73,21.75,6.88,15.37,72.63,52.65,Loamy,Rabi,Lentil
37.3,54.87,51.5,6.45,25.49,65.12,67.39,Sandy Loam,Rabi,Chickpea
35.94,116.03,221.74,7.43,25,72.76,93.37,Black Soil,Rabi,Grapes
104.26,70.9,279.38,7.08,27.26,76.8,196.35,Clay Loam,Kharif,Banana
138.84,41.97,47.07,6.04,21.21,69.39,112.9,Black Soil,Kharif,Cotton
44.8,23.03,34.7,6.27,27.01,80.48,159.73,Alluvial,Kharif,Jute
58.38,35.93,39.5,6.79,30.88,83.7,239.51,Alluvial,Kharif,Jute
22.67,53.9,25.34,6.4,21.53,66.7,90.8,Sandy Loam,Rabi,KidneyBeans
74.88,44.66,39.46,5.84,26.11,66.6,94.65,Clay Loam,Kharif,Maize
110.53,59.19,54.14,7.33,24.48,67.65,66.91,Sandy Loam,Zayad,Watermelon
51.38,35.7,37.81,7.06,32.07,79.96,175.07,Loamy,Kharif,Jute
30.31,15.34,29.5,5.69,28.65,55.38,77.44,Red Soil,Kharif,Mango
83.98,57.51,42.85,6.59,28.59,68.49,64.14,Loamy,Zayad,Muskmelon
87.16,48.83,57.02,6.24,30.44,74.68,68.35,Loamy,Kharif,Muskmelon
42.88,60.47,56.06,6.2,29.95,77.49,65.93,Sandy Loam,Rabi,Chickpea
45.64,19.5,15.01,6.99,21.93,75.5,148.39,Red Soil,Kharif,Orange
32.66,68.67,45.16,6.71,29.36,76.3,83.15,Red Soil,Kharif,Blackgram
32.01,56.32,33.32,6.67,28.54,73.68,81.55,Sandy,Zayad,MungBean
59.43,35.78,139.57,7.11,34.43,73.78,201.91,Sandy,Kharif,Coconut
111.84,61.79,319.59,6.27,25.23,75.02,108.32,Clay Loam,Kharif,Banana
48.12,32.63,17.47,7.42,20.9,68.44,118.75,Loamy,Rabi,Orange
17.37,54.64,25.6,7.33,34.28,57.43,53.53,Sandy Loam,Kharif,MothBeans
100.2,56.19,50.41,6.05,29.46,63.11,102.26,Loamy,Kharif,Cotton
34.67,55.04,45.05,6.7,23.81,73.62,63.64,Clay,Rabi,Chickpea
103.94,78.48,303.06,6.45,26.77,86.47,166.38,Red Soil,Kharif,Banana
30.76,27.26,33.44,7.41,25.06,47.15,53.92,Sandy,Rabi,Pomegranate
27.82,126.18,249.89,5.57,23.69,67.46,116.92,Clay Loam,Rabi,Apple
21.99,55.94,35.65,6.17,19.36,69.44,63.16,Sandy Loam,Kharif,KidneyBeans
25.12,48.9,34.36,6.76,27.28,76.86,88.55,Loamy,Zayad,MungBean
29.14,46.12,31.53,7.29,29.02,60.42,49.04,Loamy,Kharif,MothBeans
112.07,54.87,107.15,6.37,24.9,70.05,249.4,Clay Loam,Kharif,Coffee
28,66.58,35.59,5.51,23.47,69.95,69.15,Sandy Loam,Kharif,KidneyBeans
31.75,107.65,212.97,6.19,15.77,66.58,112.66,Sandy Loam,Rabi,Apple
31.66,63.82,28.93,6.39,24.66,72.91,46.49,Clay Loam,Rabi,Lentil
97.89,68.18,306.79,6.99,34.5,82.58,148.97,Red Soil,Kharif,Banana
55.91,40.33,118.43,7.03,30.64,78.37,163.89,Sandy,Kharif,Coconut
62.97,48.61,47.68,6.71,24.38,57.93,45.53,Clay,Rabi,Wheat
60.9,43.33,47.89,7.3,22.96,54.9,75.18,Clay,Rabi,Wheat
85.42,77.89,99.53,6.22,25.95,83.2,133.18,Sandy Loam,Kharif,Papaya
32.5,50.62,36.68,6.76,26.46,65.24,93.53,Red Soil,Rabi,Blackgram
89.56,41.14,43.83,6.97,22.17,86.96,247.01,Clay Loam,Rabi,Rice
46.06,53.33,37.08,6.22,34.39,76.39,70.9,Red Soil,Rabi,Blackgram
25.16,114.42,277.69,6.61,21.39,64.99,98.88,Sandy,Kharif,Grapes
34.79,53.17,51.58,6.18,23.33,76.14,96.22,Clay,Rabi,Chickpea
46.69,37.24,29.34,6.64,25.5,88.31,244.57,Clay,Kharif,Jute
79.5,49.83,29.89,5.94,19.32,56.31,65.47,Sandy Loam,Rabi,Maize
82.52,46.86,47.72,6.3,21.16,81.25,235.78,Loamy,Rabi,Rice
92.84,76.81,86.59,6.71,25.51,74.19,186.92,Red Soil,Kharif,Papaya
99.7,77.97,94.03,6.99,24.84,81.07,133.28,Red Soil,Kharif,Papaya
38.23,16.98,23.89,7.23,28.46,62.27,140.2,Loamy,Rabi,Orange
43.46,55.81,41.38,7.37,29.25,70.22,97.53,Clay,Kharif,Blackgram
36.01,149.42,234.21,5.85,10.91,68.23,110.57,Sandy Loam,Rabi,Apple
72.3,44.25,21.3,6.8,19.26,73.57,69.9,Sandy Loam,Kharif,Maize
81.19,77.79,87.14,6.08,31.15,84.09,144.03,Red Soil,Kharif,Papaya
52.98,43.37,51.05,7.39,12.56,68.65,59.33,Clay Loam,Rabi,Wheat
32.08,84.05,291.9,7.26,28.75,65.14,60.29,Sandy,Kharif,Grapes
89.36,44.05,27.04,6.51,22.54,70.43,82.35,Clay Loam,Rabi,Maize
20.91,40.62,35.01,6.68,34.33,58.46,52.58,Loamy,Kharif,MothBeans
55.63,30.32,26.29,6.68,30.2,73.91,175.86,Alluvial,Kharif,Jute
96.73,76.7,81.27,6.87,25.8,72.47,176.48,Sandy Loam,Kharif,Papaya
45.47,22.22,21.05,7.19,21.93,65.93,127.05,Sandy Loam,Kharif,Orange
86.31,41.1,106.38,6.05,17.04,78.93,240.72,Red Soil,Kharif,Coffee
109.14,40,58.86,6.77,23.16,67.74,93.32,Black Soil,Kharif,Cotton
36.79,54.72,26.17,7.37,27.41,70.48,117.39,Red Soil,Kharif,PigeonPeas
34.66,51.96,20.4,7.34,34.98,77.12,84.55,Sandy,Zayad,MungBean
26.23,109.42,245.03,7.37,30.41,61.13,69.02,Black Soil,Rabi,Grapes
21.08,93.06,291.6,6.04,23.19,61.88,76.46,Black Soil,Kharif,Grapes
48.5,27.5,27.81,7.09,22.32,64.06,108.12,Sandy Loam,Kharif,Orange
29.42,98.78,258.23,6.36,18.41,74.31,86.81,Sandy,Rabi,Grapes
35,66.95,43.91,6.09,28.96,77.76,80.81,Loamy,Kharif,Blackgram
62.18,43.43,45.63,6.7,12.89,63.97,75.83,Loamy,Rabi,Wheat
17.42,50.16,37.57,7.42,28.56,62.94,51.98,Loamy,Kharif,MothBeans
24.67,92.97,258.21,7.07,27.17,61.19,69.98,Loamy,Rabi,Grapes
57.39,49.25,55.07,6.63,12.42,54.77,71.27,Loamy,Rabi,Wheat
38.64,63.23,41.65,6.37,26.82,79.7,79.21,Loamy,Kharif,Blackgram
39.23,28.09,25.43,6.46,15.74,74,128.29,Red Soil,Rabi,Orange
24.37,104.55,233.52,7.21,23.42,67.01,76.83,Loamy,Rabi,Grapes
39.5,57.1,48.24,6.49,21.29,65.36,85.2,Loamy,Rabi,Chickpea
31.49,58.07,37.08,5.75,18.9,69.81,73.38,Sandy Loam,Rabi,KidneyBeans
115.48,56.15,94.53,6.29,20.55,70.45,182.09,Clay Loam,Rabi,Coffee
32.54,33.92,23.64,5.66,24.14,64.76,149.77,Sandy Loam,Kharif,Mango
38.94,57.32,39.52,6.11,28.08,74.26,75.45,Red Soil,Kharif,Blackgram
127.79,42.39,43.15,6.42,29.08,63.94,62.3,Black Soil,Kharif,Cotton
21.64,53.11,23.7,5.8,15.54,63.9,73.5,Loamy,Rabi,KidneyBeans
132.9,55.47,55.67,6.27,25.55,67.4,83.23,Loamy,Kharif,Cotton
94.22,57.95,52.35,6.93,30.49,66.77,43.15,Sandy,Kharif,Watermelon
37.71,53.2,46.88,6.93,28.64,74.51,65.9,Red Soil,Kharif,Blackgram
39.79,69.76,21.58,6.71,21.97,66.76,66.85,Sandy Loam,Rabi,KidneyBeans
62.84,56.19,44.65,6.41,17.04,50.77,68.82,Loamy,Rabi,Wheat
28.73,26.22,34.36,6.53,32.23,40.37,82.94,Sandy,Kharif,Pomegranate
32.11,58.07,20.42,6.06,28.88,75.04,67.91,Clay Loam,Kharif,MungBean
38.78,51.43,53.05,7.3,25.33,64.54,99.08,Clay,Rabi,Chickpea
33.15,124.56,225.91,5.81,12.51,71.65,138.92,Loamy,Rabi,Apple
95.64,76.89,88.63,6.43,24.69,72.52,116.88,Loamy,Kharif,Papaya
24.68,25.69,28.21,6.57,28.02,49.12,67.23,Sandy,Kharif,Pomegranate
21.74,51.47,34.7,6.9,19.98,68.27,40.45,Loamy,Rabi,Lentil
43.92,69.09,41.86,7.43,23.27,75.1,82.46,Sandy Loam,Rabi,Chickpea
109.74,70.84,290.97,6.27,33.82,80.24,100.23,Red Soil,Kharif,Banana
83.73,54.57,82.44,6.35,23.33,83.32,190.07,Loamy,Rabi,Coffee
108.24,58.92,44.27,6.21,29.86,68.56,69.13,Loamy,Zayad,Watermelon
33.28,34.42,20.05,6.85,15.46,50.55,94.84,Red Soil,Rabi,Pomegranate
88.97,72.22,295.08,7.34,28.21,89.49,156.59,Red Soil,Kharif,Banana
34.39,26.8,20.86,6.86,28.07,74.58,148.41,Loamy,Kharif,Orange
97.98,62.21,93.21,6.66,23.68,84.22,127.9,Red Soil,Kharif,Papaya
40.82,55.55,47.93,6.84,22.78,75.68,63.78,Clay,Rabi,Chickpea
18.15,41.05,25.46,7.73,30.88,62.46,37.67,Sandy Loam,Kharif,MothBeans
27.03,102.22,244.18,6.04,19.24,70.14,116.37,Loamy,Rabi,Apple
96.8,40.23,41.18,6.24,20.24,83.16,262.2,Clay Loam,Kharif,Rice
25.46,149.81,212.76,6.82,23.56,67.52,105.02,Clay Loam,Rabi,Apple
24.55,44.66,32.27,6.63,34.18,76.86,75.94,Sandy,Kharif,MungBean
86.03,45.33,42.7,6.87,20.37,87.04,282.29,Loamy,Kharif,Rice
51.8,27.82,25.05,7.04,31.17,70.87,174.85,Loamy,Kharif,Jute
95.45,44.09,54.35,6.16,28.76,73.73,49.2,Sandy Loam,Zayad,Muskmelon
72.06,58.79,39.25,5.52,26.08,56.49,98.59,Clay Loam,Kharif,Maize
80.41,41.15,49.17,6.83,29.49,67.29,53.22,Sandy Loam,Zayad,Muskmelon
43.59,30.65,103.13,7,33.39,72.11,161.54,Sandy,Kharif,Coconut
110.27,41.51,42.61,7.38,27.62,60.4,77.37,Clay,Kharif,Cotton
87.87,49.85,51.05,6.67,28.15,74.54,58.8,Sandy Loam,Kharif,Muskmelon
118.47,59.92,45.73,6.96,26.79,65.89,41.88,Sandy Loam,Zayad,Watermelon
88.05,74.83,96.79,6.02,23.63,77.02,150.66,Red Soil,Kharif,Papaya
34.6,22.16,30.4,6.32,23.22,74.07,107.61,Loamy,Rabi,Orange
19.94,32.49,34.94,6.52,15.24,36.64,54.06,Loamy,Rabi,Pomegranate
30.86,52.16,34.28,7.3,21.17,71.37,99.77,Clay,Kharif,PigeonPeas
17.27,33.71,30.15,7.02,24.36,42.89,99.64,Loamy,Kharif,Pomegranate
24.98,82.89,235.46,6.28,34.08,60.26,68.09,Loamy,Kharif,Grapes
28.14,65.25,26.25,6.69,16.94,72.04,42.17,Clay Loam,Rabi,Lentil
84.73,41.52,44.51,6.01,24.46,85.45,289.07,Clay Loam,Rabi,Rice
30.07,33.51,28.37,6.45,25.7,61.26,108.16,Loamy,Kharif,Orange
39.51,89.5,290.66,7.07,34.81,64.46,61.19,Loamy,Rabi,Grapes
35.92,22.11,30.32,6.63,27,54.9,121.07,Sandy Loam,Kharif,Mango
19.56,15.41,29.65,7.39,26.39,47.73,80.81,Loamy,Rabi,Pomegranate
89.78,50.52,52.63,6.88,29.44,77.19,56.49,Loamy,Zayad,Muskmelon
38.13,16.35,28.03,7.18,18.74,77.53,140.07,Loamy,Kharif,Orange
89.37,43.68,50.05,6.89,24.51,79.44,58.05,Loamy,Kharif,Muskmelon
97.17,62.9,83.44,6.67,23.73,71.63,166.3,Loamy,Kharif,Papaya
33.89,28.42,26.36,7.45,21.28,74.07,121.8,Red Soil,Rabi,Orange
34.52,51.18,29.81,6.04,24,65.21,48.67,Sandy,Rabi,Lentil
108.89,45.3,45.82,6.07,24.9,66.3,83.55,Clay,Kharif,Cotton
85.85,47.54,52.93,6.61,26.24,77.13,77.6,Loamy,Kharif,Watermelon
35.41,53.96,40.55,6.81,27.78,63.88,80.28,Sandy Loam,Rabi,Chickpea
83.03,57.96,40.52,6.02,29.75,71.52,68.39,Sandy,Zayad,Muskmelon
108.28,55.41,111.32,6.43,15.44,80.5,185.48,Clay Loam,Kharif,Coffee
86.17,47.63,42.86,6.19,25.06,71.22,67.42,Sandy Loam,Zayad,Muskmelon
98.64,42.03,43.93,6.64,26.09,67.29,66.8,Loamy,Zayad,Watermelon
40.11,51.85,52.77,6.95,20.42,64.04,89.11,Clay,Rabi,Chickpea
22.68,55.66,37.41,7.3,19.64,72.54,56.02,Sandy,Rabi,Lentil
24.21,116.14,236.99,6.86,22.53,63.98,135.34,Sandy Loam,Rabi,Apple
98.7,57.78,50.11,6.41,27.32,77.57,48.72,Sandy Loam,Zayad,Muskmelon
32.84,85.48,217.86,7.07,24.74,67.81,86.18,Sandy,Rabi,Grapes
23.82,21.46,29.48,7.24,34.24,67.92,107.16,Red Soil,Kharif,Mango
51.98,48.51,42.09,7.29,23.19,63.54,65.12,Clay,Rabi,Wheat
44.28,41.63,140.58,5.84,29.16,74.8,184.83,Coastal Sandy,Kharif,Coconut
54.36,39.77,25.52,7.16,24.53,80.32,191.13,Alluvial,Kharif,Jute
109.85,77,269.32,6.95,33.33,75.04,181.6,Loamy,Kharif,Banana
102.71,56.61,47.42,7.22,23.12,66.8,99.47,Black Soil,Kharif,Cotton
131.15,41.33,50.05,6.3,23.42,60.97,89.29,Loamy,Kharif,Cotton
105.95,41.21,114.44,6.36,17.27,79.81,154.78,Clay Loam,Rabi,Coffee
111.86,44.49,89.33,6.47,18.88,77.5,174.6,Loamy,Kharif,Coffee
39.98,26.53,34.35,6.33,28.84,65.24,104.34,Red Soil,Kharif,Mango
41.44,43.19,113.26,7.18,31.96,88.96,157.84,Loamy,Kharif,Coconut
17.59,15.75,19.65,6.73,28.63,52.99,71.97,Loamy,Kharif,Pomegranate
52.13,26.92,31.21,6.31,31.67,71.52,219.44,Clay,Kharif,Jute
87.29,59.66,117.64,6.12,16.23,74.72,195.45,Loamy,Rabi,Coffee
99.81,46.68,45.24,6.59,22.12,85.99,226.84,Clay Loam,Kharif,Rice
31.57,122.1,221.65,6.88,13.51,61.26,115.6,Sandy Loam,Rabi,Apple
33.17,50.53,30.56,7.2,30.07,79.19,67.06,Clay,Rabi,Blackgram
27.9,51.19,20.86,6.05,31.59,78.04,85.87,Loamy,Zayad,MungBean
39.97,112.37,205.05,5.5,15.67,71.33,130.49,Clay Loam,Rabi,Apple
23.35,56.28,28.49,6.32,28,79.74,98.82,Clay,Kharif,PigeonPeas
21.93,96.13,276.72,6.31,31.84,71.3,72.88,Sandy,Rabi,Grapes
28.42,53.66,33.74,5.92,17.24,68.78,76.13,Sandy,Rabi,KidneyBeans
39.04,22.25,32.7,7.38,31.16,64.9,126.12,Red Soil,Kharif,Mango
59.59,44.12,149.67,5.75,34.38,74.07,184.59,Loamy,Kharif,Coconut
42.93,60.67,34.49,7.35,32.42,69.74,92.97,Clay,Kharif,Blackgram
50.3,52.21,43.2,6.61,13.44,64.61,41.09,Loamy,Rabi,Wheat
88.5,46.03,43.59,5.9,21.82,86.37,244.12,Loamy,Kharif,Rice
49.14,16.01,31.62,6.21,20.87,68.29,142.67,Red Soil,Rabi,Orange
80.96,75.61,83.19,6.09,22.77,77.72,108.53,Red Soil,Kharif,Papaya
25.76,44.31,21.16,6.93,27.54,57.1,49.46,Loamy,Kharif,MothBeans
30.03,66.7,22.87,6.86,23.57,60.92,119.65,Clay,Kharif,PigeonPeas
47.12,33.95,22.42,6.37,28.65,86.73,162.47,Loamy,Kharif,Jute
59.36,24.3,21.71,6.6,33.87,73.07,187.11,Clay,Kharif,Jute
33.75,107.29,247.86,6.98,26.04,67.94,79.93,Black Soil,Kharif,Grapes
22.22,69.8,32.35,6.16,15.12,67.03,69.44,Sandy,Rabi,Lentil
91.31,51.8,49.76,6.6,27.97,65.63,73.64,Sandy,Kharif,Watermelon
30.46,33.89,25.2,7.37,15.75,78.22,143.94,Loamy,Kharif,Orange
111.43,56.51,55.1,6.41,23.23,61.51,102.11,Loamy,Kharif,Cotton
84.4,46.85,40,6.12,29.2,79.71,45.09,Loamy,Zayad,Watermelon
109.53,57.1,45.77,7.21,30.05,66.69,56.1,Sandy Loam,Kharif,Watermelon
73.04,44.22,35.03,5.74,19.15,61.4,78.33,Loamy,Kharif,Maize
70.86,50.58,35.75,6.78,25.26,70.94,70.97,Sandy Loam,Kharif,Maize
27.22,63.2,30.11,6.64,27.18,71.26,101.71,Red Soil,Kharif,PigeonPeas
116.79,49.58,115.42,6.35,25.72,80.69,201.65,Loamy,Kharif,Coffee
86.78,43.03,44.02,6.66,24.24,84.93,242.36,Loamy,Rabi,Rice
111.47,59.14,81.43,6.13,23.88,76.07,182.72,Clay Loam,Rabi,Coffee
42.28,55.38,47.45,6.06,26.3,62.31,87.36,Clay,Rabi,Chickpea
31.25,44.88,23.66,6.87,31.09,70.02,86.22,Loamy,Zayad,MungBean
25.72,100.78,217.77,6.34,20.8,72,125.04,Loamy,Rabi,Apple
37.24,64.92,50.22,6.5,22.79,79.36,84.15,Sandy Loam,Rabi,Chickpea
89.5,48.32,48.67,6.51,26.29,86.34,237.27,Clay Loam,Kharif,Rice
84.4,40.52,51.73,6.43,25.74,78.05,66.28,Loamy,Zayad,Muskmelon
43.35,31.91,29.97,7.49,33.39,70.69,227.83,Alluvial,Kharif,Jute
117.03,50,102.96,6.34,18.32,82.39,215.13,Red Soil,Rabi,Coffee
133.92,55.05,41.77,7.27,29.54,66.08,70.81,Clay,Kharif,Cotton
34.29,44.26,27.25,6.17,30.13,76.9,93.05,Sandy,Kharif,MungBean
102.23,52,117.66,6.18,20.39,77.23,204.4,Loamy,Rabi,Coffee
24.93,65,30.88,7.17,21.63,74.5,87.43,Loamy,Kharif,PigeonPeas
20.09,51.54,32.9,6.63,30.79,71.68,86.87,Sandy,Kharif,MungBean
20.64,64.29,23.06,6.54,21.24,61.32,88.96,Loamy,Rabi,KidneyBeans
40.32,21.45,32.5,6.54,28.64,73.11,164.34,Loamy,Kharif,Jute
25.55,65.03,25.96,6.64,21.95,72.38,81.9,Sandy Loam,Rabi,KidneyBeans
31.06,50.23,39.19,6.28,25.39,65.28,92.45,Red Soil,Rabi,Blackgram
21.77,27.92,29.53,6.21,24.26,58.8,106.24,Sandy Loam,Kharif,Mango
22.64,51.67,35.07,6.75,31.88,79.95,63.15,Sandy,Kharif,MungBean
109.19,42.32,110.96,6.17,26.47,72.32,201.3,Loamy,Kharif,Coffee
34.9,19.3,28.23,6.64,27.08,49.09,71.28,Red Soil,Kharif,Pomegranate
34.28,62.6,29.71,6.6,23.67,68.25,69.78,Sandy Loam,Rabi,KidneyBeans
20.3,18.09,34.18,6.11,26.46,57.75,76.98,Loamy,Kharif,Mango
104.2,50.6,52.1,6.68,21.68,66.21,77.54,Clay,Kharif,Cotton
84.85,43.38,43.62,6.62,27.7,69.6,79.54,Sandy,Kharif,Muskmelon
35.3,118.2,283.7,7.11,25.43,69.23,90.26,Black Soil,Kharif,Grapes
100.37,55.38,101.51,6.23,21.61,77.33,226.45,Loamy,Rabi,Coffee
28.05,45.54,24.93,7.16,32.77,55.76,51.41,Sandy Loam,Kharif,MothBeans
100.35,40.31,51.85,6.32,31.37,78.59,46.85,Sandy Loam,Zayad,Watermelon
19.02,30.01,17,7.25,32.92,45.19,62.93,Sandy,Kharif,Pomegranate
65.76,40.07,53.08,6.71,14.58,65.12,52.31,Clay,Rabi,Wheat
85.18,77.85,265.04,7.17,28.64,81.29,182.42,Red Soil,Kharif,Banana
22.46,118.44,287.61,6.09,20.85,65.66,82.22,Loamy,Kharif,Grapes
31.7,125.14,206.78,6.38,17.01,69.19,130.31,Clay Loam,Rabi,Apple
84.71,72.27,94.8,6.74,29.43,81.24,171.89,Sandy Loam,Kharif,Papaya
27.92,31.28,17.5,6.68,29.23,54.21,75.22,Red Soil,Rabi,Pomegranate
45.73,47.65,121.12,5.62,31.51,81.18,204.15,Coastal Sandy,Kharif,Coconut
94.44,61.47,89.11,6.98,29.69,73.83,158.41,Sandy Loam,Kharif,Papaya
